"All","Alle"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","U heeft alle recente systeem-meldingen bekeken en opgelost. Herlaad de pagina om de melding op te ruimen."
"Manage Shopping Cart","Beheer winkelwagen"
"Create Order","Bestelling aanmaken"
"Back","Terug"
"Add Products","Voeg producten toe"
"Update Items and Quantities","Producten en aantallen bijwerken"
"Are you sure you want to clear your cart?","Weet u zeker dat u uw winkelwagen wilt wissen?"
"Clear my shopping cart","Winkelwagen leegmaken"
"Add selections to my cart","Selectie toevoegen aan winkelwagen"
"Cancel","Annuleer"
"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2"
"Select products you want to buy","Selecteer het product dat u wilt kopen"
"Product","Product"
"Price","Prijs"
"Quantity","Hoeveelheid"
"Products in the Comparison List (%1)","Producten in de Vergelijkingslijst (%1)"
"Last ordered items (%1)","Laatst bestelde producten (%1)"
"Products","Producten"
"ID","ID"
"SKU","Art.nr."
"Recently Compared Products (%1)","Recent vergeleken producten (%1)"
"Recently Viewed Products (%1)","Recent bekeken producten (%1)"
"Add to Shopping Cart by SKU","Toevoegen aan winkelwagen via art.nr."
"Add to Shopping Cart","Voeg toe aan winkelwagen"
"Wish List (%1)","Verlanglijst (%1)"
"Apply","Toepassen"
"Configure","Configureren"
"Add to Order by SKU","Toevoegen aan bestelling via art.nr."
"Add to Order","Voeg toe aan bestelling"
"Add Products to Order","Voeg producten toe aan bestelling"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> product(en) vereisen aandacht.</span>"
"Remove All","Alles verwijderen"
"Only %1%2%3 left in stock","Slechts %1%2%3 op voorraad"
"You can buy up to %1 of these per purchase.","U kunt ten hoogste %1 van dit product per aankoop."
"You must buy at least %1 of these per purchase.","U moet ten minste %1 van dit product aanschaffen per aankoop."
"Specify the product's options.","Geef de productopties aan."
"Alert me when this item is available.","Waarschuw me wanneer dit product beschikbaar is."
"We can't find this customer.","Klant niet gevonden."
"Shopping cart management is disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant."
"We can't find this store.","De winkel is niet gevonden."
"Customers","Klanten"
"Shopping Cart","Winkelwagen"
"Sorry, something went wrong. You can find out more in the error log.","Er ging iets mis. U kunt meer informatie in het error logboek vinden."
"You do not have access to this.","U heeft geen toegang hier toe."
"Ordered item id is not received.","ID van het bestelde artikel is niet ontvangen."
"Ordered item is not loaded.","Bestelde artikel is niet geladen."
"Quote item id is not received.","Quote item id is niet ontvangen."
"Quote item is not loaded.","Quote item id niet geladen."
"The wish list item id is not received.","Het verlanglijst product ID is niet ontvangen."
"The wish list item is not loaded.","Het verlanglijst item is niet geladen."
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"You cannot configure a product.","U kan het product niet aanpassen."
"You removed the items.","U heeft de producten verwijderd."
"You removed the item.","U heeft het product verwijderd."
"You added %1 to your shopping cart.","U heeft %1 aan uw winkelwagen toegevoegd."
"You cannot add a product.","U kan geen product toevoegen."
"Order by SKU","Bestel via art.nr."
"The SKU was not found in the catalog.","Het product is niet gevonden in de catalogus."
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"We don't have as many of these as you want.","De voorraad is kleiner dan het aantal gevraagd."
"You can't add this many to your cart.","Het is niet mogelijk deze hoeveelheid aan de winkelwagen toe te voegen."
"You need to choose options for your item.","Er zijn verplichte optie keuzes voor dit product."
"We can't add the item to your cart.","We kunnen het product niet toevoegen aan uw Winkelwagen."
"Please enter an actual number in the ""Qty"" field.","Vul een getal in bij het Aantal veld."
"This product is assigned to another website.","Dit product is aan een andere website toegewezen."
"You can add only enabled products.","Alleen actieve producten kunnen worden toegevoegd."
"You cannot upload this file.","Dit bestand kan niet worden geüpload."
"The file is empty.","Het bestand is leeg."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Er is geen Artikelnummer ingevuld. <a href=""%1"">Klik hier</a> om producten via Art.nr. toe te voegen."
"You have not entered a product SKU.","Er is geen artikelnummer ingevuld."
"We can't add a product to cart by id ""%1"".","Er kan geen product met id ""%1"" aan de winkelwagen worden toegevoegd."
"Something went wrong while reordering this product.","Er is een fout opgetreden tijdens het herbestellen van dit product."
"We can't find this wish list.","Deze verlanglijst kan niet gevonden worden."
"You added %1 product to your shopping cart.","U heeft %1 product aan uw winkelwagen toegevoegd."
"You added %1 products to your shopping cart.","U heeft %1 producten aan uw winkelwagen toegevoegd."
"%1 product requires your attention.","%1 product vereist uw aandacht."
"%1 products require your attention.","%1 producten vereisen uw aandacht."
"Yes, for Specified Customer Groups","Ja, voor opgegeven klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
"No","Nee"
"The file is corrupt.","Het bestand is beschadigd."
"Please upload the file in .csv format.","Upload het bestand in .csv formaat."
"%1 item(s) need your attention.","%1 producten(en) vereisen uw aandacht."
"Apply Coupon Code","Pas kortingscode toe"
"Remove Coupon Code","Verwijder kortingscode"
"Remove","Verwijder"
"The coupon code ""%1"" is not valid.","Kortingscode ""%1"" is niet geldig."
"Shopping Cart Items","Producten in winkelwagen"
"Qty","Aantal"
"Subtotal","Subtotaal"
"Discount","Korting"
"Row Subtotal","Subtotaal rij"
"Action","Actie"
"No ordered items","Geen bestelde artikelen"
"Total %1 product(s)","Totaal %1 product(en)"
"Subtotal:","Subtotaal:"
"Please select","Selecteer"
"Move to Wish List","Naar verlanglijst verplaatsen"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet u zeker dat u dit product wilt wissen?"
"SKU number","Art.nr."
"Upload File","Bestand uploaden"
"Your csv file must include ""sku"" and ""qty"" columns.","Het csv-bestand moet ""sku"" en ""qty"" kolommen bevatten."
"Reset","Reset"
"SKU:","Art.nr:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nog <span id=""%1_max_allowed"">%2</span> op voorraad"
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"What's this?","Wat is dit?"
"Incl. Tax","Incl. Belasting"
"Excl. Tax","Excl. Belasting"
"Edit item parameters","Wijzig product-parameters"
"Edit","Bewerken"
"Remove item","Verwijder dit artikel"
"Products Requiring Attention","Producten die aandacht behoeven"
"Add to Cart","In Winkelwagen"
"Sku","Art.nr."
"File","Bestand"
"File extensions allowed: .csv","Toegestande extensie: .csv"
"Add Row","Rij Toevoegen"
"Remove Row","Rij verwijderen"
"Add Products By SKU","Voeg producten toe via SKU"
"Shopping Cart Management","Winkelwagenbeheer"
"View Shopping Cart","Bekijk winkelwagen"
"View and modify Shopping Cart","Bekijk en wijzig winkelwagen"
"Order by SKU Settings","Bestel per Art.nr. Instellingen"
"Enable Order by SKU on My Account in Storefront","Bestel per Art.nr. inschakelen Account in winkelaanzicht"
"Customer Groups","Klantengroepen"
"Apply Coupon","Pas kortingscode Toe"
"Order by SKU Description","Bestel via SKU Omschrijving"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definieert of een link naar Account &gt; Bestelling via art.nr, pagina wordt getoond op het widget"
"Link Text","Link tekst"
"The text of the link to the My Account &gt; Order by SKU page","De tekst van de link naar de Account &gt; Bestelling via art.nr. pagina"
"Load a list of SKUs","Laad een lijst met SKU's"
"Order by SKU Template","Bestel via SKU Template"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"Entity type model '%1' is not found","Type entiteitsmodel '%1' is niet gevonden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteitstype model moet onderdeel zijn van\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Er zijn geen product-typen beschikbaar om te exporteren"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Verkoopregel"
"Index sales rule","Indexeer verkoopregel"
"Related Search Terms","Gerelateerde zoektermen"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"button_label","button_label"
"Missing search engine parameter.","Missend zoekmachine kenmerk."
"Successful! Test again?","Succesvol! Test opnieuw?"
"Connection failed! Test again?","Verbinding mislukt! Test opnieuw?"
"Enable Search Recommendations","Stel Zoek Aanbevelingen in staat"
"When you enable this option your site may slow down.","Indien u deze optie inschakeld kan uw website vertragen."
"Search Recommendations Count","Zoek Aanbevelings Telling"
"Show Results Count for Each Recommendation","Toon resultaten telling voor elke aanbeveling"
"Enable Search Suggestions","Zoeksuggesties inschakelen"
"Search Suggestions Count","Aantal zoeksuggesties"
"Show Results Count for Each Suggestion","Toon resultaten telling voor elke suggestie"
"Related search terms","Gerelateerde zoektermen"
"Did you mean","Bedoelde u"
"ID","ID"
"Search Query","Zoekterm"
"Store","Winkel"
"Results","Resultaten"
"Uses","Gebruikt"
"Redirect URL","Doorverwijs URL"
"Suggested Term","Voorgestelde term"
"Yes","Ja"
"No","Nee"
"Action","Actie"
"Edit","Bewerken"
"RPC call failed, connection timed out after %time_out.","RPC call mislukt, connectie time out na %time_out."
"Message has been rejected: %1","Bericht is afgekeurd: %1"
"Error while checking if topic is synchronous","Fout bij controle of onderwerp dubbel voorkomt"
"Subscription status","Abonnementsstatus"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, er is een fout opgetreden bij het verwerken van uw aanvraag. Probeer het later nog eens."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, is er een fout opgetreden tijdens de verwerking van uw aanvraag voor Magento Analytics. Probeer het later nog eens."
"Error occurred during postponement notification","Fout opgetreden tijdens kennisgeving van uitstel"
"Time value has an unsupported format","Tijd waarde bevat een niet ondersteund formaat"
"Cron settings can't be saved","Cron instellingen konden niet worden opgeslagen"
"There was an error save new configuration value.","Er was een fout bij het opslaan van de nieuwe configuratiewaarde."
"Please select a vertical.","Selecteer een verticale."
"--Please Select--","--Maak een keuze--"
"Command was not found.","Opdracht is niet gevonden."
"Input data must be string or convertible into string.","Invoer data moet een string zijn of naar string geconverteerd kunnen worden."
"Input data must be non-empty string.","Invoer data mag niet leeg zijn."
"Not valid cipher method.","Geen geldige coderingsmethode."
"Encryption key can't be empty.","Encryptiesleutel mag niet leeg zijn."
"Source ""%1"" is not exist","Bron ""%1"" bestaat niet"
"These arguments can't be empty ""%1""","Deze argumenten mogen niet leeg zijn ""%1"""
"Cannot find predefined integration user!","Vooraf gedefinieerde integratiegebruiker niet gevonden!"
"File is not ready yet.","Bestand is nog niet klaar."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Uw basis-URL is veranderd en uw rapporten worden bijgewerkt. Geavanceerde rapportage zal beschikbaar zijn zodra deze wijziging is verwerkt. Probeer het later nog eens."
"Failed to synchronize data to the Magento Business Intelligence service.","Gegevens synchroniseren met de Magento Business Intelligence service mislukt."
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Synchronisatie opnieuw proberen</a>"
"TestMessage","TestBericht"
"Error message","Foutmelding"
"Apps and Games","Apps en Games"
"Athletic/Sporting Goods","Atletiek/Sport goederen"
"Art and Design","Kunst en Design"
"Advanced Reporting","Geavanceerde rapportages"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Krijg nieuwe inzichten en neem de leiding over de prestaties van uw bedrijf, gebruikmakend van onze dynamische product-, order- en klantrapporten op maat van uw klantgegevens."
"View details","Bekijk details"
"Go to Advanced Reporting","Ga naar de geavanceerde rapportage"
"An error occurred while subscription process.","Er is een fout opgetreden tijdens het inschrijvingsproces."
"Analytics","Analytics"
"API","API"
"Configuration","Configuratie"
"Business Intelligence","Business intelligence"
"BI Essentials","BI Essentieel"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.","Deze service biedt een dynamisch pakket rapporten met rijke inzichten over uw bedrijf.
                 Uw rapporten kunnen veilig worden geopend op een gepersonaliseerd dashboard buiten het beheerdersvenster door op de. Te klikken
                 ""Ga naar geavanceerde rapportage"" link. </br> Zie onze website voor meer informatie
                 <a href=""https://magento.com/legal/terms/privacy""> Algemene voorwaarden </a>."
"Advanced Reporting Service","Geavanceerde rapportage service"
"Industry","Industrie"
"Time of day to send data","Moment van de dag om gegevens te verzenden"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>meer inzicht krijgen van Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence biedt u een eenvoudig en duidelijk pad naar
                     meer data driven worden. </br> Meer informatie over <a target = ""_ blank""
                     href = ""https://dashboard.rjmetrics.com/v2/magento/signup/""> BI Essentials </a>."
"Auto Parts","Auto-onderdelen"
"Baby/Children’s Apparel, Gear and Toys","Baby / kinderkleding, uitrusting en speelgoed"
"Beauty and Cosmetics","Schoonheid en cosmetica"
"Books, Music and Magazines","Muziek, boeken en tijdschriften"
"Crafts and Stationery","Ambachten en schrijfbehoeften"
"Consumer Electronics","Consumentenelektronica"
"Deal Site","Aanbieding-site"
"Fashion Apparel and Accessories","Mode kleding en accessoires"
"Food, Beverage and Grocery","Voedsel, drank en boodschappen"
"Home Goods and Furniture","Huishoudartikelen en meubilair"
"Home Improvement","Doe-het-zelf"
"Jewelry and Watches","Sieraden en horloges"
"Mass Merchant","Massale koopman"
"Office Supplies","Kantoorartikelen"
"Outdoor and Camping Gear","Outdoor- en kampeeruitrusting"
"Pet Goods","Huisdier goederen"
"Pharma and Medical Devices","Farma en medische hulpmiddelen"
"Technology B2B","Technologie B2B"
"Analytics Subscription","Analytics abonnement"
"powered by Magento Business Intelligence","mogelijk gemaakt door Magento Business Intelligence"
"Are you sure you want to opt out?","Weet u zeker dat u zich wilt afmelden?"
"Cancel","Annuleer"
"Opt out","Opt-out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p> Geavanceerde rapportage in opgenomen,
                     kosteloos, in uw Magento-software. Wanneer u zich afmeldt, verzamelen wij geen product, bestelling en
                     klantgegevens om onze dynamische rapporten te genereren. </p> <p> Om u later aan te melden: u kunt Geavanceerd altijd inschakelen
                     Rapportage in uw beheerdersdashboard. </p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Selecteer uw branche om uw ervaring van geavanceerde rapportage te personaliseren."
"Back","Terug"
"Done","Klaar"
"Retry","Opnieuw proberen"
"'Action Details - #' .","'Actie Details - #'."
"%1 item(s) have been scheduled for update.""","%1 object(en) zijn gepland voor update."""
"Bulk Actions Log","Bulk acties Log"
"%1 item(s) are currently being updated.","%1 item(s) worden momenteel bijgewerkt."
"Task ""%1"":","Taak ""%1"":"
"%1 item(s) have been scheduled for update.","%1 object(en) zijn gepland voor update."
"%1 item(s) have been successfully updated.","%1 object(en) zijn succesvol bijgewerkt."
"%1 item(s) failed to update","%1 object(en) niet gelukt om te updaten"
"Details","Details"
"View Details","Bekijk details"
"Dismiss","Afwijzen"
"Pending, in queue...","In behandeling, in wachtrij..."
"%1 items selected for mass update","%1 items geselecteerd voor mass update"
", %1 successfully updated",", %1 bijgewerkt"
", %1 failed to update",", %1 bijwerken mislukt"
"Something went wrong.","Er ging iets mis."
"Action Log","Actie logboek"
"Bulk Actions","Bulk-acties"
"Days Saved in Log","Dagen opgeslagen in logboek"
"Description of Operation","Beschrijving van werking"
"Summary","Samenvatting"
"Start Time","Begin Tijd"
"Items to Retry","Items om opnieuw te proberen"
"To retry, select the items and click “Retry”.","Om de items nogmaals proberen te verwerken. Selecteer de items en klik op ""Opnieuw proberen""."
"Items That Can’t Be Updated.","Producten die niet kunnen worden bijgewerkt."
"ID","ID"
"Status","Status"
"Meta Information","Meta informatie"
"Error","Fout"
"Dismiss All Completed Tasks","Alle voltooide taken verwijderen"
"Action Details - #","Actie Details - #"
"Number of Records Affected","Aantal rijen aangedaan"
"We can't find the role for the user you wanted.","Wij kunnen de rol niet vinden voor de gebruiker die u selecteerde."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Er ging iets mis tijdens het compileren van een lijst van toegestane resources. U vindt meer informatie in de exceptions log."
"You created the order.","Bestelling is aangemaakt."
"Order saving error: %1","Fout tijdens opslaan van order: %1"
"Please choose a payment method.","Kies een betaalwijze."
"We can't process your order right now. Please try again later.","We kunnen uw bestelling nu niet verwerken. Probeer het later nog eens."
"An error occurred on the server. Please try to place the order again.","Er is een fout opgetreden op de server. Probeer het opnieuw plaatsen van de bestelling."
"Credit Card: xxxx-%1","Creditcard: xxxx-%1"
"amount %1","bedrag %1"
"failed.","mislukt."
"successful.","succesvol."
"Authorize.Net Transaction ID %1.","Authorize.Net Transactie ID %1."
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"refund","refund"
"void","void"
"Gateway error: %1","Portaal fout: %1"
"Something went wrong in the payment gateway.","Er is een fout opgetreden in het betaal portaal."
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing error."
"Invalid transaction ID.","Incorrect transactie ID."
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","Invalid amount for refund."
"Payment refunding error.","Payment refunding error."
"The transaction was declined because the response hash validation failed.","De transactie is afgekeurd omdat de antwoord hash validatie niet klopte."
"This payment didn't work out because we can't find this order.","De transactie is afgekeurd omdat de bestelling niet gevonden kan worden."
"There was a payment authorization error.","Er was een betalings-autorisatie fout."
"Please enter a transaction ID to authorize this payment.","Voer een transactie-ID voor het autoriseren van deze betaling."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Er ging iets mis: het betaalde bedrag komt niet overeen met het bedrag van de bestelling. Corrigeer dit en probeer het opnieuw."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transactie %1 is goedgekeurd. Bedrag %2. De status van de transactie is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transactie %1 is ongeldig/geweigerd. De status van de transactie is ""%2"". Bedrag %3."
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Authoriseer en Capture"
"Unable to get transaction details. Try again later.","Het is niet mogelijk om de transactie details op te halen. Probeer het later opnieuw."
"Electronic payments save the trees.","Electronische betalingen red de bomen."
"Credit Card Type","Creditcard-maatschappij"
"Please Select","Selecteer"
"Credit Card Number","Creditcard-nummer"
"Expiration Date","Vervaldatum"
"Card Verification Number","Verificatienummer"
"Fraud Detection","Fraude detectie"
"FDS Filter Action","FDS filteractie"
"AVS Response","AVS Antwoord"
"Card Code Response","Kaart Code Antwoord"
"CAVV Response","CAVV Antwoord"
"Fraud Filters","Fraude Filters"
"Place Order","Plaats bestelling"
"Sorry, but something went wrong. Please contact the seller.","Er ging iets mis. Neem contact op met de verkoper."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Ingeschakeld"
"Payment Action","Betaling"
"Title","Titel"
"API Login ID","API Login-ID"
"Transaction Key","Transactiecode"
"Merchant MD5","Webwinkelier MD5"
"New Order Status","Status nieuwe bestelling"
"Test Mode","Test Modus"
"Gateway URL","Betaalplatform URL"
"Transaction Details URL","Transactie Details Url"
"Accepted Currency","Toegestane valuta"
"Debug","Debug"
"Email Customer","E-mail klant"
"Merchant's Email","Handelaar E-mail"
"Credit Card Types","Creditcard-maatschappij"
"Credit Card Verification","Creditcard-verficatie"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Minimum Order Total","Minimale bestelwaarde"
"Maximum Order Total","Maximale bestelwaarde"
"Sort Order","Sorteervolgorde"
"Close","Sluiten"
"options","opties"
"Select all","Alles selecteren"
"Deselect all","Alles deselecteren"
"Cancel","Annuleer"
"Done","Klaar"
"Please Select","Selecteer a.u.b."
"%s of %s selected","%s van %s geselecteerd"
"B2B Features","B2B functies"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Gelieve de pagina te vernieuwen."
"You entered an invalid Secret Key. Please refresh the page.","Er is een incorrecte Secret Key ingevoerd. Ververs de pagina."
"Cache Storage Management","Beheer cachegeheugen"
"Flush Magento Cache","Leeg Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","De cache opslag kan extra informatie bevatten. Weet u zeker dat u dit wil legen?"
"Flush Cache Storage","Leeg Cachegeheugen"
"Invalidated","Ongeldig"
"Orders","Bestellingen"
"Amounts","Bedragen"
"Bestsellers","Meest verkochte producten"
"Most Viewed Products","Meest bekeken producten"
"New Customers","Nieuwe klanten"
"Customers","Klanten"
"Customer","Klant"
"Guest","Gast"
"Items","Producten"
"Total","Totaal"
"Lifetime Sales","Verkopen tot nu toe"
"Average Order","Gemiddelde orderwaarde"
"Average","Gemiddeld"
"Product","Product"
"Price","Prijs"
"Quantity","Aantal"
"Views","Weergaven"
"Revenue","Omzet"
"Tax","Belasting"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"All Files","Alle bestanden"
"Reset to Default","Standaard herstellen"
"All Store Views","Alle Winkelaanzichten"
"What is this?","Wat is dit?"
"Save Account","Account opslaan"
"My Account","Mijn account"
"Account Information","Accountinformatie"
"User Name","Gebruikersnaam"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email","E-mail"
"User Email","E-mail van gebruiker"
"New Password","Nieuw wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Interface Locale","Interfacetaal"
"Current User Identity Verification","Huidige gebruiker verificatie"
"Your Password","Uw wachtwoord"
"Save Cache Settings","Cache-instellingen opslaan"
"Catalog Rewrites","Catalogus Rewrites"
"Refresh","Vernieuwen"
"Images Cache","Afbeeldingen-cache"
"Clear","Legen"
"Search Index","Zoekindex"
"Rebuild","Herindexeren"
"Inventory Stock Status","Voorraad-status"
"Rebuild Catalog Index","Herbouw catalogus index"
"Rebuild Flat Catalog Category","Herbouw productcatalogus"
"Rebuild Flat Catalog Product","Herbouw productcatalogus"
"Cache Control","Beheer cache"
"All Cache","Gehele cache"
"No change","Geen wijziging"
"Disable","Uitschakelen"
"Enable","Inschakelen"
"Add Design Change","Design-wijziging toevoegen"
"Back","Terug"
"Delete","Verwijderen"
"Are you sure?","Weet u het zeker?"
"Save","Opslaan"
"Edit Design Change","Ontwerpverandering bewerken"
"New Store Design Change","Nieuwe Winkel Ontwerp Wijziging"
"General Settings","Algemene instellingen"
"Store","Winkel"
"-- Please Select --","-- Selecteer --"
"Custom Design","Eigen ontwerp"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Design Change","Ontwerpverandering"
"General","Algemeen"
"Cancel","Annuleer"
"Delete %1 '%2'","Verwijderen %1 '%2'"
"Delete %1","Verwijder %1"
"Block Information","Blok informatie"
"Backup Options","Backup-opties"
"Create DB Backup","DB-backup aanmaken"
"Yes","Ja"
"No","Nee"
"Delete Store","Winkel verwijderen"
"Delete Web Site","Verwijder website"
"Save Web Site","Website opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelaanzicht opslaan"
"Delete Store View","Winkelaanzicht verwijderen"
"Edit Web Site","Bewerk Website"
"New Web Site","Nieuwe Website"
"Edit Store","Winkel bewerken"
"New Store","Nieuwe winkel"
