"All","Alle"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","Es wird nicht empfohlen {{base_url}} in einer Produktionsumgebung zu verwenden. Wir empfehlen diesen Wert in Ihrer Magento <a href=""%1""> Konfiguration</a> zu ändern."
"One or more of the Cache Types are invalidated: %1.","Eine oder mehrere Cache-Typen sind ungültig: %1."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Bitte öffnen Sie die <a href=""%1""> Cache-Verwaltung</a> und aktualisieren Sie diese."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Wir waren nicht in der Lage, eine oder mehrere Mediendateien zu synchronisieren. Prüfen Sie die Protokolldatei für Details."
"Synchronization of media storages has been completed.","Synchronisierung der Media-Storages ist abgeschlossen."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Der Webserver ist nicht korrekt eingerichtet und ermöglicht nicht autorisierten Zugriff auf vertrauliche Dateien. Bitte kontaktieren Sie Ihren System Administrator."
"System Messages:","Systemmeldungen:"
"Critical System Messages","Kritische Systemmeldungen"
"Major System Messages","Wichtige Systemmeldungen"
"System messages","Systemmeldungen"
"Close","Schließen"
"See All (","Alle anzeigen ("
"unread)","ungelesen)"
"Show Toolbar","Symbolleiste anzeigen"
"Show List","Liste anzeigen"
"Use HTTPS to Get Feed","Bitte verwende HTTPS und den Feed anzuzeigen"
"Update Frequency","Update Frequenz"
"Last Update","Letzte Aktualisierung"
"Severity","Schweregrad"
"Date Added","Hinzugefügt am"
"Message","Nachricht"
"Actions","Aktionen"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Sie haben alle kürzlichen Systemmitteilungen gesehen und gelöst.
Bitte aktualisieren Sie die Web-Seite um die Mitteilungs-Benachrichtigung zurück zu setzen."
"Manage Shopping Cart","Warenkorb verwalten"
"Create Order","Neue Bestellung"
"Back","Zurück"
"Add Products","Artikel hinzufügen"
"Update Items and Quantities","Artikel und Anzahl aktualisieren"
"Are you sure you want to clear your cart?","Möchten Sie den Ihren Warenkorb wirklich leeren?"
"Clear my shopping cart","Warenkorb leeren"
"Add selections to my cart","Auswahl zum Warenkorb hinzufügen"
"Cancel","Abbrechen"
"Shopping Cart for %1 in %2","Warenkorb für %1 in %2"
"Select products you want to buy","Wählen Sie die Produkte aus, welche Sie kaufen möchten"
"Product","Produkt"
"Price","Preis"
"Quantity","Menge"
"Products in the Comparison List (%1)","Produkte in der Vergleichsliste (%1)"
"Last ordered items (%1)","Letzten bestellten Artikel (%1)"
"Products","Artikel"
"ID","ID"
"SKU","Artikelnummer"
"Recently Compared Products (%1)","Zuletzt verglichene Produkte (%1)"
"Recently Viewed Products (%1)","Zuletzt angesehene Produkte (%1)"
"Add to Shopping Cart by SKU","Per Artikelnummer zum Warenkorb hinzufügen"
"Add to Shopping Cart","Zum Warenkorb hinzufügen"
"Wish List (%1)","Wunschliste (%1)"
"Apply","Anwenden"
"Configure","Konfigurieren"
"Add to Order by SKU","Per Artikelnummer zur Bestellung hinzufügen"
"Add to Order","Zur Bestellung hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> Produkt(e) erfordern ihre Aufmerksamkeit.</span>"
"Remove All","Alle entfernen"
"Only %1%2%3 left in stock","Nur %1%2%3 auf Lager verbleibend"
"You can buy up to %1 of these per purchase.","Sie können bis zu %1 dieser Artikel pro Bestellung kaufen."
"You must buy at least %1 of these per purchase.","Du musst mindestens %1 dieser Produkte dieser pro Einkauf kaufen."
"Specify the product's options.","Bitte geben sie Produkt Optionen an."
"Alert me when this item is available.","Benachrichtigen Sie mich, wenn dieser Artikel verfügbar ist."
"We can't find this customer.","Wir können diesen Kunden nicht finden."
"Shopping cart management is disabled for this customer.","Warenkorb Verwaltung ist für diesen Kunden deaktiviert."
"We can't find this store.","Wir können diesen Shop nicht finden."
"Customers","Kunden"
"Shopping Cart","Warenkorb"
"Sorry, something went wrong. You can find out more in the error log.","Entschuldigung, es ist ein Fehler aufgetreten. Sie erfahren mehr im Fehlerprotokoll."
"You do not have access to this.","Sie haben darauf keinen Zugriff."
"Ordered item id is not received.","Artikel Id wurde nicht empfangen."
"Ordered item is not loaded.","Die Bestellung ist nicht geladen."
"Quote item id is not received.","Wir konnten die Wunschliste nicht finden."
"Quote item is not loaded.","Warenkorb ist nicht geladen."
"The wish list item id is not received.","Wunschliste Artikel-Id ist nicht erhalten."
"The wish list item is not loaded.","Der Wunschlisteneintrag ist nicht geladen."
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Details sind in der Fehlerlogdatei sichtbar."
"You cannot configure a product.","Sie können kein Produkt konfigurieren."
"You removed the items.","Sie haben die Artikel entfernt."
"You removed the item.","Sie haben den Artikel entfernt."
"You added %1 to your shopping cart.","Sie haben %1 in Ihren Warenkorb gelegt."
"You cannot add a product.","Sie können kein Produkt hinzufügen."
"Order by SKU","Bestellung anhand Artikelnummer"
"The SKU was not found in the catalog.","Die SKU wurde nicht im Katalog gefunden."
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"We don't have as many of these as you want.","Es gibt nicht mehr so viele Artikel wie sie wollen."
"You can't add this many to your cart.","Sie dürfen nicht so viele Artikel zu ihrem Warenkorb hinzufügen."
"You need to choose options for your item.","Sie müssen eine Optionen für Ihren Artikel wählen."
"We can't add the item to your cart.","Wir können den Artikel nicht dem Warenkorb hinzufügen."
"Please enter an actual number in the ""Qty"" field.","Bitte geben Sie eine echte Zahl in das ""Anzahl"" Feld ein."
"This product is assigned to another website.","Dieses Produkt ist einer anderen Website zugewiesen."
"You can add only enabled products.","Sie können nur aktivierte Produkte hinzufügen."
"You cannot upload this file.","Sie können diese Datei nicht hochladen."
"The file is empty.","Die Datei ist leer."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Sie haben keine Artikelnummer eingegeben. Bitte <a href=""%1"">klicken Sie hier</a> um ein Produkt per Artikelnummer(n) hinzuzufügen."
"You have not entered a product SKU.","Sie haben keine Artikelnummer eingegeben."
"We can't add a product to cart by id ""%1"".","Wir können kein Produkt mit der Id ""%1"" zum Warenkorb hinzufügen."
"Something went wrong while reordering this product.","Beim Nachbestellen ist etwas schief gelaufen."
"We can't find this wish list.","Wir können diese Wunschliste leider nicht finden."
"You added %1 product to your shopping cart.","Sie haben den Artikel %1 zum Warenkorb hinzugefügt."
"You added %1 products to your shopping cart.","Sie haben %1 Artikel zum Warenkorb hinzugefügt."
"%1 product requires your attention.","%1 Produkt erfordert Ihre Aufmerksamkeit."
"%1 products require your attention.","%1 Produkte erfordern Ihre Aufmerksamkeit."
"Yes, for Specified Customer Groups","Ja, für angegebene Kundengruppen"
"Yes, for Everyone","Ja, für alle"
"No","Nein"
"The file is corrupt.","Diese Datei ist beschädigt."
"Please upload the file in .csv format.","Bitte laden Sie die Datei im CSV-Format hoch."
"%1 item(s) need your attention.","%1 Artikel benötigen ihre Aufmerksamkeit."
"Apply Coupon Code","Gutscheincode anwenden"
"Remove Coupon Code","Gutscheincode verwerfen"
"Remove","Entfernen"
"The coupon code ""%1"" is not valid.","Der Gutschein-Code ""%1"" ist ungültig."
"Shopping Cart Items","Artikel im Warenkorb"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Discount","Rabatt"
"Row Subtotal","Zeilen Zwischensumme"
"Action","Aktion"
"No ordered items","Keine bestellten Produkte"
"Total %1 product(s)","Insgesamt %1 Produkt(e)"
"Subtotal:","Zwischensumme:"
"Please select","Bitte wählen"
"Move to Wish List","Auf die Wunschliste verschieben"
"No item specified.","Kein Artikel angegeben."
"Are you sure you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen möchten?"
"SKU number","Artikelnummer"
"Upload File","Datei hochladen"
"Your csv file must include ""sku"" and ""qty"" columns.","Ihre CSV-Datei muss die Spalten ""sku"" und ""qty"" enthalten."
"Reset","Zurücksetzen"
"SKU:","Artikelnummer:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Nur noch<span id=""%1_max_allowed"">%2</span> auf Lager"
"Item","Artikel"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"What's this?","Was ist das?"
"Incl. Tax","Inkl. MwSt."
"Excl. Tax","Exkl. Steuern"
"Edit item parameters","Artikelparameter bearbeiten"
"Edit","Bearbeiten"
"Remove item","Artikel entfernen"
"Products Requiring Attention","Produkte benötigen Aufmerksamkeit"
"Add to Cart","In den Warenkorb"
"Sku","Artikelnr."
"File","Datei"
"File extensions allowed: .csv","Erlaubte Datei-Erweiterungen: .csv"
"Add Row","Zeile hinzufügen"
"Remove Row","Zeile entfernen"
"Add Products By SKU","Produkte durch Artikelnummer hinzufügen"
"Shopping Cart Management","Warenkorbverwaltung"
"View Shopping Cart","Warenkorb anzeigen"
"View and modify Shopping Cart","Warenkorb anzeigen und ändern"
"Order by SKU Settings","Sortieren nach Artikelnummer-Einstellungen"
"Enable Order by SKU on My Account in Storefront","Bestellung mit Artikelnummer über Mein Account im Frontend aktivieren"
"Customer Groups","Kundengruppen"
"Apply Coupon","Gutschein einlösen"
"Order by SKU Description","Nach Artikelnummer-Beschreibung sortieren"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definiert, ob ein Link auf mein Konto &gt; Bestellung mit Artikelnummer-Seite auf dem Widget angezeigt werden"
"Link Text","Verlinke Text"
"The text of the link to the My Account &gt; Order by SKU page","Der Text des Links zu mein Konto &gt; Bestellung mit Artikelnummer"
"Load a list of SKUs","Laden Sie eine Liste von Artikelnummern"
"Order by SKU Template","Nach Artikelnummer-Vorlage sortieren"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"Entity type model '%1' is not found","Entity Type Model '%1' konnte nicht gefunden werden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entitätsmodell Typ muss eine Instanz des \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType sein"
"There are no product types available for export","Für den Export stehen keine Artikelarten zur Verfügung"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1-Klasse implementiert nicht \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Verkaufs-Regel"
"Index sales rule","Index Verkaufs-Regel"
"Related Search Terms","Verwandte Suchbegriffe"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"button_label","button_label"
"Missing search engine parameter.","Such Parameter fehlen."
"Successful! Test again?","Erfolgreich! Testen Sie erneut?"
"Connection failed! Test again?","Verbindung fehlgeschlagen! Testen Sie erneut?"
"Enable Search Recommendations","Aktivieren Suche Empfehlungen"
"When you enable this option your site may slow down.","Wenn Sie diese Option aktivieren, kann sich Ihre Website verlangsamen."
"Search Recommendations Count","Suche Empfehlungen Zähler"
"Show Results Count for Each Recommendation","Anzeige Ergebiszähler für jede Empfehlung"
"Enable Search Suggestions","Suchvorschläge aktivieren"
"Search Suggestions Count","Suche Anregungen Zähler"
"Show Results Count for Each Suggestion","Zeige Ergebnisse Anzahl für jede Anregung"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
"ID","ID"
"Search Query","Weiterleitungs-URL"
"Store","Store"
"Results","Ergebnisse"
"Uses","Verwendungen"
"Redirect URL","Umleitungs-URL"
"Suggested Term","Vorgeschlagene Begriffe"
"Yes","Ja"
"No","Nein"
"Action","Aktion"
"Edit","Bearbeiten"
"RPC call failed, connection timed out after %time_out.","RPC-Aufruf fehlgeschlagen, Verbindung Zeitüberschreitung nach %time_out."
"Message has been rejected: %1","Nachricht wurde abgewiesen: %1"
"Error while checking if topic is synchronous","Fehler beim Überprüfen, wenn das Thema synchron ist"
"Subscription status","Abonnementstatus"
"Sorry, there has been an error processing your request. Please try again later.","Es tut uns leid, bei der Bearbeitung Ihrer Anfrage ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Zeit-Angabe hat ein nicht unterstütztes Format"
"Cron settings can't be saved","Cron-Einstellungen konnten nicht gespeichert werden"
"There was an error save new configuration value.","Beim Speichern der Konfigurationswerte ist ein Fehler aufgetreten."
"Please select a vertical.","Bitte wählen Sie eine Branche."
"--Please Select--","-- Bitte wählen --"
"Command was not found.","Befehl wurde nicht gefunden."
"Input data must be string or convertible into string.","Eingabedaten müssen eine Zeichenfolge oder zu einer Zeichenfolge konvertierbar sein."
"Input data must be non-empty string.","Eingabedaten müssen eine nicht leere Zeichenfolge sein."
"Not valid cipher method.","Ungültige Chiffre-Methode."
"Encryption key can't be empty.","Schlüssel zur Verschlüsselung darf nicht leer sein."
"Source ""%1"" is not exist","Quelle ""%1"" exitiert nicht"
"These arguments can't be empty ""%1""","Diese Argumente dürfen nicht leer sein ""%1"""
"Cannot find predefined integration user!","Vordefinierter Integrationsbenutzer konnte nicht gefunden werden!"
"File is not ready yet.","Die Datei ist noch nicht bereit."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Ihre Basis-URL wurde geändert und Ihre Berichte werden aktualisiert. Das ""Advanced Reporting"" wird verfügbar sein, sobald diese Änderung verarbeitet wurde. Bitte versuchen Sie es später erneut."
"Failed to synchronize data to the Magento Business Intelligence service.","Fehler beim Synchronisieren der Daten mit dem Magento Business Intelligence-Dienst."
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Synchronisierung erneut versuchen</a>"
"TestMessage","Testnachricht"
"Error message","Error message"
"Apps and Games","Apps und Games"
"Athletic/Sporting Goods","Sportartikel"
"Art and Design","Kunst und Design"
"Advanced Reporting","Advanced Reporting"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gewinnen Sie neue Einblicke und übernehmen Sie das Kommando über Ihre Geschäftsentwicklung, mit unseren dynamischen Berichten zu Produkten, Bestellungen und Kunden, zugeschnitten auf Ihre Daten."
"View details","View details"
"Go to Advanced Reporting","Zum ""Advanced Reporting"""
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","Statistiken"
"API","API"
"Configuration","Konfiguration"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>."
"Advanced Reporting Service","""Advanced Reporting"" Service"
"Industry","Branche"
"Time of day to send data","Uhrzeit, zu der Daten gesendet werden"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Erfahren Sie mehr von der Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Autoteile"
"Baby/Children’s Apparel, Gear and Toys","Baby-/Kinderbekleidung, Ausrüstung und Spielzeug"
"Beauty and Cosmetics","Beauty und Kosmetik"
"Books, Music and Magazines","Bücher, Musik und Magazine"
"Crafts and Stationery","Kunsthandwerk und Schreibwaren"
"Consumer Electronics","Unterhaltungselektronik"
"Deal Site","Deal-Website"
"Fashion Apparel and Accessories","Mode Bekleidung und Accessoires"
"Food, Beverage and Grocery","Lebensmittel, Getränke und Lebensmittelgeschäfte"
"Home Goods and Furniture","Hausrat und Möbel"
"Home Improvement","Heimwerkerbedarf"
"Jewelry and Watches","Schmuck und Uhren"
"Mass Merchant","Großhandel"
"Office Supplies","Bürobedarf"
"Outdoor and Camping Gear","Outdoor- und Camping-Ausrüstung"
"Pet Goods","Heimtierbedarf"
"Pharma and Medical Devices","Pharma- und Medizinprodukte"
"Technology B2B","Technologie B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Löschen"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Um Ihr ""Advanced Reporting"" optimal einstellen zu können, wählen Sie bitte Ihre Branche."
"Back","Zurück"
"Done","Fertig"
"Retry","Erneut versuchen"
"'Action Details - #' .","'Aktionsdetails - #'."
"%1 item(s) have been scheduled for update.""","%1 Artikel sind für Aktualisierung eingeplant."""
"Bulk Actions Log","Massenverarbeitungsprotokoll"
"%1 item(s) are currently being updated.","%1 Artikel werden derzeit aktualisiert."
"Task ""%1"":","Aufgabe ""%1"":"
"%1 item(s) have been scheduled for update.","%1 Artikel sind für Aktualisierung eingeplant."
"%1 item(s) have been successfully updated.","%1 Artikel wurden erfolgreich aktualisiert."
"%1 item(s) failed to update","%1 Artikel konnten nicht aktualisiert werden"
"Details","Details"
"View Details","Details anzeigen"
"Dismiss","Verwerfen"
"Pending, in queue...","Ausstehend, in Warteschlange..."
"%1 items selected for mass update","%1 Artikel für Massenaktualisierung ausgewählt"
", %1 successfully updated",", %1 erfolgreich aktualisiert"
", %1 failed to update",", %1 konnten nicht aktualisiert werden"
"Something went wrong.","Es ist ein Fehler aufgetreten."
"Action Log","Verarbeitungsprotokoll"
"Bulk Actions","Massenverarbeitung"
"Days Saved in Log","Tagen, die im Protokoll gespeichert werden"
"Description of Operation","Beschreibung der Operation"
"Summary","Zusammenfassung"
"Start Time","Startzeit"
"Items to Retry","Einträge für Neuversuch"
"To retry, select the items and click “Retry”.","Um es erneut zu versuchen, wählen Sie die Elemente aus und klicken Sie auf ""Erneut versuchen""."
"Items That Can’t Be Updated.","Elemente, die nicht aktualisiert werden können."
"ID","ID"
"Status","Status"
"Meta Information","Meta-Information"
"Error","Fehler"
"Dismiss All Completed Tasks","Alle erledigten Aufgaben schließen"
"Action Details - #","Aktionsdetails - #"
"Number of Records Affected","Anzahl der betroffenen Datensätze"
"We can't find the role for the user you wanted.","Wir können die gewünschte Benutzerrolle nicht finden."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Beim kompilieren einer Liste von erlaubten Resourcen ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Exception-Log."
"You created the order.","Sie haben die Bestellung erstellt."
"Order saving error: %1","Fehler beim Speichern der Bestellung: %1"
"Please choose a payment method.","Bitte wählen Sie eine Zahlungsmethode."
"We can't process your order right now. Please try again later.","Wir können Ihre Bestellung im Moment nicht verarbeiten. Bitte versuchen Sie es später erneut."
"An error occurred on the server. Please try to place the order again.","Auf dem Server ist ein Fehler aufgetreten. Bitte versuchen Sie die Bestellung erneut aufzugeben."
"Credit Card: xxxx-%1","Kreditkarte: xxxx-%1"
"amount %1","Betrag %1"
"failed.","fehlgeschlagen."
"successful.","erfolgreich."
"Authorize.Net Transaction ID %1.","Authorize.Net Transaktions-ID %1."
"authorize","autorisieren"
"authorize and capture","genehmigen und erfassen"
"capture","erfassen"
"refund","erstatten"
"void","annullieren"
"Gateway error: %1","Gateway-Fehler: %1"
"Something went wrong in the payment gateway.","Ein Fehler ist im Payment-Gateway aufgetreten."
"Invalid amount for capture.","Ungültiger Betrag für Zahlungseinzug."
"Payment capturing error.","Fehler bei der Zahlungserfassung."
"Invalid transaction ID.","Ungültige Transaktions-ID."
"Payment voiding error.","Fehler beim Annulieren der Zahlung."
"Invalid amount for refund.","Ungültiger Betrag für die Rückerstattung."
"Payment refunding error.","Fehler bei der Rückerstattung."
"The transaction was declined because the response hash validation failed.","Die Transaktion wurde abgelehnt, da der Antwort-Hash invalide war."
"This payment didn't work out because we can't find this order.","Diese Zahlung funktionierte nicht, weil wir die Bestellung nicht finden können."
"There was a payment authorization error.","Zahlung konnte nicht autorisiert werden."
"Please enter a transaction ID to authorize this payment.","Bitte geben Sie eine Transaktions-ID ein um, diese Zahlung zu autorisieren."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Etwas ging schief: der bezahlte Betrages entspricht nicht dem Betrag der Bestellung. Bitte korrigieren Sie dies und versuchen Sie es erneut."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Die Transaktion %1 über den Betrag %2 wurde genehmigt und hat nun den Status %3"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaktion %1 wurde storniert/abgelehnt. Derzeitiger Transaktionsstatus ""%2"". Höhe %3."
"Authorize Only","Nur autorisieren"
"Authorize and Capture","Autorisieren und Zahlungseinzug"
"Unable to get transaction details. Try again later.","Transaktionsdetails können nicht abgerufen werden. Versuchen Sie es später erneut."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","Kreditkartentyp"
"Please Select","Bitte wählen"
"Credit Card Number","Kreditkartennummer"
"Expiration Date","Ablaufdatum"
"Card Verification Number","Kartenprüfnummer"
"Fraud Detection","Betrugserkennung"
"FDS Filter Action","FDS Filteraktion"
"AVS Response","AVS Rückmeldung"
"Card Code Response","Karten Code Antwort"
"CAVV Response","CAVV Rückmeldung"
"Fraud Filters","Betrugsfilter"
"Place Order","Jetzt kostenpflichtig bestellen"
"Sorry, but something went wrong. Please contact the seller.","Entschuldigung, es ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Anbieter."
"Authorize.net Direct Post","Authorize.net Direktpost"
"Enabled","Aktiviert"
"Payment Action","Zahlungsvorgang"
"Title","Titel"
"API Login ID","API-Login-ID"
"Transaction Key","Transaktionsschlüssel"
"Merchant MD5","Händler MD5"
"New Order Status","Neuer Bestellstatus"
"Test Mode","Testmodus"
"Gateway URL","Gateway URL"
"Transaction Details URL","Transaktionsdetails URL"
"Accepted Currency","Akzeptierte Währung"
"Debug","Debug"
"Email Customer","Kunden Email"
"Merchant's Email","Händler Email"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Verifizierung"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Sort Order","Sortierreihenfolge"
"Close","Schließen"
"options","Optionen"
"Select all","Alle auswählen"
"Deselect all","Alle abwählen"
"Cancel","Abbrechen"
"Done","Erledigt"
"Please Select","Bitte auswählen"
"%s of %s selected","%s von %s ausgewählt"
"B2B Features","B2B Funktionen"
"Invalid Form Key. Please refresh the page.","Ungültiger Form-Key. Bitte aktualisieren Sie die Seite."
"You entered an invalid Secret Key. Please refresh the page.","Sie haben einen ungültigen Geheimschlüssel angegeben. Bitte laden Sie die Seite neu."
"Cache Storage Management","Cache-Speicherverwaltung"
"Flush Magento Cache","Magento-Cache leeren"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Der Cache-Speicher kann zusätzliche Daten enthalten. Sind Sie sicher, dass Sie ihn leeren möchten?"
"Flush Cache Storage","Cache-Speicher leeren"
"Invalidated","Für ungültig erklärt"
"Orders","Bestellungen"
"Amounts","Mengen"
"Bestsellers","Bestseller"
"Most Viewed Products","Am meisten angesehene Produkte"
"New Customers","Neue Kunden"
"Customers","Kunden"
"Customer","Kunde"
"Guest","Gast"
"Items","Artikel"
"Total","Gesamtsumme"
"Lifetime Sales","Alle Verkäufe"
"Average Order","Durchschnittliche Bestellung"
"Average","Durchschnitt"
"Product","Produkt"
"Price","Preis"
"Quantity","Menge"
"Views","Aufrufe"
"Revenue","Umsatz"
"Tax","Steuer"
"Shipping","Versand"
"Images (.gif, .jpg, .png)","Sichtbare abwählen"
"Media (.avi, .flv, .swf)","Medien (.avi, .flv,. swf)"
"All Files","Alle Dateien"
"Reset to Default","Auf Standard zurücksetzen"
"All Store Views","Alle Store Views"
"What is this?","Was ist das?"
"Save Account","Konto speichern"
"My Account","Mein Konto"
"Account Information","Kontoinformation"
"User Name","Benutzername"
"First Name","Vorname"
"Last Name","Nachname"
"Email","E-Mail"
