"All","Все"
"Discount","Скидка"
"Row Subtotal","Итого строк"
"Action","Действие"
"No ordered items","Нет заказанных товаров"
"Total %1 product(s)","Всего %1 продукт (ов)"
"Subtotal:","Промежуточный итог:"
"Please select","Выберите"
"Move to Wish List","Переместить в список желаний"
"No item specified.","Нет указанных элементов."
"Are you sure you want to remove this item?","Вы уверены, что хотите удалить этот элемент?"
"SKU number","Номер SKU"
"Upload File","Загрузить файл"
"Your csv file must include ""sku"" and ""qty"" columns.","В вашем CSV-файле должны присутствовать колонки «sku» и «qty»."
"Reset","Сбросить"
"SKU:","Артикул:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Только <span id=""%1_max_allowed"">%2</span> на складе"
"Item","Элемент"
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"What's this?","Что это?"
"Incl. Tax","Включая налог"
"Excl. Tax","Без налога"
"Edit item parameters","Изменить параметры позиции"
"Edit","Редактировать"
"Remove item","Удалить позицию"
"Products Requiring Attention","Товары, требующие внимания"
"Add to Cart","Добавить в корзину"
"Sku","Артикул"
"File","Файл"
"File extensions allowed: .csv","Разрешены файлы с расширением .csv"
"Add Row","Добавить строку"
"Remove Row","Удалить строку"
"Add Products By SKU","Добавление продуктов по SKU"
"Shopping Cart Management","Управление корзиной"
"View Shopping Cart","Посмотреть корзину"
"View and modify Shopping Cart","Просмотр и изменение корзины"
"Order by SKU Settings","Сортировать по настройкам SKU"
"Enable Order by SKU on My Account in Storefront","Включить заказ по SKU в моем аккаунте"
"Customer Groups","Группы покупателей"
"Apply Coupon","Применить купон"
"Order by SKU Description","Сортировать по описанию SKU"
"Display a Link to Loading a Spreadsheet","Показать ссылку для загрузки таблицы"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Определяет, является ли ссылка моего аккаунта &gt; Сортировка страниц по SKU будет отображаться в виджете"
"Link Text","Текст ссылки"
"The text of the link to the My Account &gt; Order by SKU page","Текст ссылки на мой аккаунт &gt; Сортировка страниц по SKU"
"Load a list of SKUs","Загрузить список SKU"
"Order by SKU Template","Сортировать по SKU шаблонам"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Entity type model '%1' is not found","Введеный тип модели '%1' не найден"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модель типа сущности должна быть \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Нет типов продуктов, доступных для экспорта"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 класс не принадлежит \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Правила продажи"
"Index sales rule","Индекс правила продаж"
"Related Search Terms","Связанные поисковые запросы"
"Add New Search Term","Добавить новый поисковый запрос"
"button_label","ярлык_кнопки"
"Missing search engine parameter.","Отсутствует параметр поисковой системы."
"Successful! Test again?","Успешно! Проверить еще раз?"
"Connection failed! Test again?","Ошибка соединения! Проверить еще раз?"
"Enable Search Recommendations","Включить поиск рекомендаций"
"When you enable this option your site may slow down.","Включение этого параметра может замедлить ваш сайт."
"Search Recommendations Count","Количество рекомендаций поиска"
"Show Results Count for Each Recommendation","Показать количество результатов для каждой рекомендации"
"Enable Search Suggestions","Включить поисковые подсказки"
"Search Suggestions Count","Количество подсказок поиска"
"Show Results Count for Each Suggestion","Показать количество результатов для каждой подсказки"
"Related search terms","Связанные поисковые запросы"
"Did you mean","Возможно вы имели в виду"
"ID","ID"
"Search Query","Поисковый запрос"
"Store","Магазин"
"Results","Результат"
"Uses","Использование"
"Redirect URL","Переадресация URL"
"Suggested Term","Предлагаемый срок"
"Yes","Да"
"No","Нет"
"Action","Действие"
"Edit","Редактировать"
"RPC call failed, connection timed out after %time_out.","Сбой вызова RPC, подключения истекло после %time_out."
"Message has been rejected: %1","Сообщение было отклонено: %1"
"Error while checking if topic is synchronous","Ошибка при проверке, если тема синхронизирована"
"Subscription status","Статус подписки"
"Sorry, there has been an error processing your request. Please try again later.","Извините, произошла ошибка при обработке вашего запроса. Пожалуйста, повторите попытку позже."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Извините, в Magento Analytics произошла ошибка при обработке вашего запроса на регистрацию. Пожалуйста, повторите попытку позже."
"Error occurred during postponement notification","Произошла ошибка при уведомлении о повторе"
"Time value has an unsupported format","Значение времени имеет неподдерживаемый формат"
"Cron settings can't be saved","Настройки Cron не могут быть сохранены"
"There was an error save new configuration value.","Ошибка сохранения нового значения конфигурации."
"Please select a vertical.","Пожалуйста выберите вертикаль."
"--Please Select--","-- Выберите --"
"Command was not found.","Команда не найдена."
"Input data must be string or convertible into string.","Введенные данные должны быть изменены в строке или в регистре."
"Input data must be non-empty string.","Входные данные должны иметь непустую строку."
"Not valid cipher method.","Неверный пароль."
"Encryption key can't be empty.","Ключ шифрования не может быть пустым."
"Source ""%1"" is not exist","Источник ""%1"" не существует"
"These arguments can't be empty ""%1""","Эти аргументы не могут быть пустыми ""%1"""
"Cannot find predefined integration user!","Предопределенная интеграция не может найти пользователя!"
"File is not ready yet.","Файл ещё не готов."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Ваш базовый URL-адрес обновляется. Как только это изменение будет обработано, будет доступна расширенная отчетность. Повторите попытку позже."
"Failed to synchronize data to the Magento Business Intelligence service.","Не удалось синхронизировать данные с сервисом Magento Business Intelligence."
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Повторите попытку синхронизации</a>"
"TestMessage","Тестовое сообщение"
"Error message","Сообщение об ошибке"
"Apps and Games","Приложения и игры"
"Athletic/Sporting Goods","Спортивные товары"
"Art and Design","Искусство и дизайн"
"Advanced Reporting","Расширенная Отчетность"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Получите новые идеи и проверьте свою эффективность бизнеса, используя динамические отчеты о продуктах, заказах и клиентах."
"View details","Посмотреть детали"
"Go to Advanced Reporting","Перейти к расширенной отчетности"
"An error occurred while subscription process.","В процессе подписки произошла ошибка."
"Analytics","Аналитика"
"API","API"
"Configuration","Настройки"
"Business Intelligence","Бизнес-аналитика"
"BI Essentials","Би Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.","Эта услуга предоставляет динамический набор отчетов с богатой информацией о вашей компании.                Ваши отчеты безопасно доступны из персонализированной таблицы вывесок                Нажмите ссылку «Перейти к расширенной отчетности».</br>Для получения дополнительной информации см.
                <a href=""https://magento.com/legal/terms/privacy"">Условия и Соглашения</a>."
"Advanced Reporting Service","Служба Расширенных Отчетов"
"Industry","Промышленность"
"Time of day to send data","Время отправления данных"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>получите больше понимания от Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence предоставляет вам простой и понятный
					путь к управлению данными.</br> Подробнее о уровне<a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a>."
"Auto Parts","Авто запчасти"
"Baby/Children’s Apparel, Gear and Toys","Детская одежда, снаряжение и игрушки"
"Beauty and Cosmetics","Красота и Косметика"
"Books, Music and Magazines","Книга, Музыка и Журналы"
"Crafts and Stationery","Ремесла и канцелярские принадлежности"
"Consumer Electronics","Бытовая электроника"
"Deal Site","Сделка сайт"
"Fashion Apparel and Accessories","Мода Одежда и аксессуары"
"Food, Beverage and Grocery","Еда, напитки и продуктовых"
"Home Goods and Furniture","Товары для дома и мебель"
"Home Improvement","Главная улучшение"
"Jewelry and Watches","Ювелирные изделия и Часы"
"Mass Merchant","Массовый Торговец"
"Office Supplies","Офисные принадлежности"
"Outdoor and Camping Gear","Напольное и Кемпинговое Оборудование"
"Pet Goods","Tовары для Животных"
"Pharma and Medical Devices","Фармацевтических и медицинских приборов"
"Technology B2B","Технология B2B"
"Analytics Subscription","Подписка на аналитику"
"powered by Magento Business Intelligence","работает на Magento Business Intelligence"
"Are you sure you want to opt out?","Вы уверены, что хотите сдаваться?"
"Cancel","Отмена"
"Opt out","Отказаться"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Расширенная отчетность предоставляется бесплатно,
в вашем программном обеспечении Magento. Когда вы отказываетесь, мы не собираем данные о продуктах, заказах и
клиентах для создания наших динамических отчетов.</p><p> Чтобы выбрать позже: вы всегда можете включить расширенную отчетность в своей
панели администратора.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Чтобы персонализировать ваш опыт, передовые отчетности, пожалуйста выберите вашей отрасли."
"Back","Назад"
"Done","Готово"
"Retry","Повторить"
"'Action Details - #' .","«Подробности действия - #»."
"%1 item(s) have been scheduled for update.""","Количество элементов запланированных для обновления: %1."""
"Bulk Actions Log","Журнал Массовых Операций"
"%1 item(s) are currently being updated.","%1 элемент(ов) в настоящее время обновляется."
"Task ""%1"":","Задача «%1»:"
"%1 item(s) have been scheduled for update.","%1 элемент(ов) было запланировано обновление."
"%1 item(s) have been successfully updated.","%1 элемент(ов) был успешно обновлен."
"%1 item(s) failed to update","%1 элемент(ов) не удалось обновить"
"Details","Подробнее"
"View Details","Смотреть подробности"
"Dismiss","Отменить"
"Pending, in queue...","В ожидании, на хвосте..."
"%1 items selected for mass update","%1 элементов, выбранных для массового обновления"
", %1 successfully updated",", %1 успешно обновлено"
", %1 failed to update",", %1 не успешно обновлено"
"Something went wrong.","Что-то пошло не так."
"Action Log","Журнал Транзакций"
"Bulk Actions","Массовые Операции"
"Days Saved in Log","Дни, сохранённые в журнале"
"Description of Operation","Описание операции"
"Summary","Итог"
"Start Time","Время начала"
"Items to Retry","Элементы для повтора"
"To retry, select the items and click “Retry”.","Чтобы повторить, выберите элементы и нажмите кнопку «Повторить»."
"Items That Can’t Be Updated.","Элементы, которые не могут быть обновлены."
"ID","Идентификатор"
"Status","Статус"
"Meta Information","Дополнительная информация"
"Error","Ошибка"
"Dismiss All Completed Tasks","Скрыть все завершенные задачи"
"Action Details - #","Детали действия - #"
"Number of Records Affected","Количество зарегистрированных записей"
"We can't find the role for the user you wanted.","Мы не можем определить права запрошенного пользователя."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Что-то пошло не так во время компиляции списка разрешенных ресурсов. Вы можете узнать больше информации в журнале исключений."
"You created the order.","Вы создали заказ."
"Order saving error: %1","Порядок сохранения ошибки: %1"
"Please choose a payment method.","Пожалуйста, выберите способ оплаты."
"We can't process your order right now. Please try again later.","Мы не можем обработать вам заказ сейчас. Пожалуйста попробуйте позже."
"An error occurred on the server. Please try to place the order again.","На сервере произошел сбой. Пожалуйста, попробуйте повторить размещение заказа."
"Credit Card: xxxx-%1","Кредитная карта: xxxx-%1"
"amount %1","сумма %1"
"failed.","ошибка."
"successful.","успешно."
"Authorize.Net Transaction ID %1.","Authorize.Net транзакции ID %1."
"authorize","Авторизация"
"authorize and capture","Авторизация и запись"
"capture","запись"
"refund","возврат"
"void","значение void"
"Gateway error: %1","Ошибка шлюза: %1"
"Something went wrong in the payment gateway.","Что-то пошло не так в платежном шлюзе."
"Invalid amount for capture.","Недопустимый размер записи."
"Payment capturing error.","Ошибка записи оплаты."
"Invalid transaction ID.","Недопустимый ID транзакции."
"Payment voiding error.","Ошибка значения void оплаты."
"Invalid amount for refund.","Недопустимый размер для возврата."
"Payment refunding error.","Ошибка возврата оплаты."
"The transaction was declined because the response hash validation failed.","Транзакция была отклонена, поскольку не удалось проверить хэш."
"This payment didn't work out because we can't find this order.","Этот платеж не прошел, так как мы не можем найти этот заказ."
"There was a payment authorization error.","Была ошибка авторизации платежа."
"Please enter a transaction ID to authorize this payment.","Пожалуйста, введите ID транзакции для авторизации этого платежа."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Что-то пошло не так: платежная сумма не соответствует сумме заказа. Пожалуйста откорректируйте её и попробуйте позже."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 транзакция одобрена. Сумма %2. Статус транзакции — «%3»"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 транзакция была пропущенна/отклонена. Статус транзакции — «%2». Сумма %3."
"Authorize Only","Авторизировать только"
"Authorize and Capture","Авторизация и запись"
"Unable to get transaction details. Try again later.","Не удалось получить сведения о транзакциях. Повторите попытку позже."
"Electronic payments save the trees.","Электронные платежи сохраняют деревья."
"Credit Card Type","Тип кредитной карты"
"Please Select","Выберите"
"Credit Card Number","Номер кредитной карты"
"Expiration Date","Дата окончания срока действия"
"Card Verification Number","Проверочный код карты"
"Fraud Detection","Обнаружение мошенничества"
"FDS Filter Action","Действие фильтра FDS"
"AVS Response","AVS ответ"
"Card Code Response","Ответ Карт Кода"
"CAVV Response","CAVV ответ"
"Fraud Filters","Фильтры мошенничества"
"Place Order","Оформить заказ"
"Sorry, but something went wrong. Please contact the seller.","Извините, но что-то пошло не так. Свяжитесь с продавцом."
"Authorize.net Direct Post","Прямое Сообщение Authorize.NET"
"Enabled","Включено"
"Payment Action","Тип платежа"
"Title","Название"
"API Login ID","ID входа API"
"Transaction Key","Ключ транзакции"
"Merchant MD5","Merchant MD5"
"New Order Status","Новый статус заказа"
"Test Mode","Тестовый режим"
"Gateway URL","шлюз URL"
"Transaction Details URL","Детали транзакции URL"
"Accepted Currency","Принимаемая валюта"
"Debug","Отладка"
"Email Customer","E-mail клиента"
"Merchant's Email","Email продавца"
"Credit Card Types","Тип кредитной карты"
"Credit Card Verification","Верификация кредитной карты"
"Payment from Applicable Countries","Оплата из подходящих стран"
"Payment from Specific Countries","Оплата из конкретных стран"
"Minimum Order Total","Сумма минимального заказа"
"Maximum Order Total","Сумма максимального заказа"
"Sort Order","Порядок Сортировки"
"Close","Закрыть"
"options","параметры"
"Select all","Выбрать все"
"Deselect all","Отменить весь выбор"
"Cancel","Отмена"
"Done","Готово"
"Please Select","Выберите"
"%s of %s selected","%s из %s выбран"
"B2B Features","Особенности B2B"
"Invalid Form Key. Please refresh the page.","Недопустимый ключ формы. Пожалуйста, обновите страницу."
"You entered an invalid Secret Key. Please refresh the page.","Вы ввели неверный секретный ключ. Пожалуйста, обновите страницу."
"Cache Storage Management","Управление хранилищем кэша"
"Flush Magento Cache","Очистить кэш Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Кэш-хранилище может содержать дополнительные данные. Вы уверены, что вы хотите, чтобы очистить его?"
"Flush Cache Storage","Очистить хранилище кэша"
"Invalidated","Недействительно"
"Orders","Заказы"
"Amounts","Сумма"
"Bestsellers","Лидеры продаж"
"Most Viewed Products","Наиболее просматриваемые товары"
"New Customers","Новый клиент"
"Customers","Покупатели"
"Customer","Клиент"
"Guest","Гость"
"Items","Позиции"
"Total","Всего"
"Lifetime Sales","Всего продаж"
"Average Order","Обычный заказ"
"Average","В среднем"
"Product","Товар"
"Price","Цена"
"Quantity","Количество"
"Views","Просмотры"
"Revenue","Доход"
"Tax","Налог"
"Shipping","Доставка"
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медиа (.avi, .flv и .swf)"
"All Files","Все файлы"
"Reset to Default","Сброс по умолчанию"
"All Store Views","Хранилище всех просмотров"
"What is this?","Что это?"
"Save Account","Сохранить учетную запись"
"My Account","Мой счет"
"Account Information","Данные учётной записи"
"User Name","Имя пользователя"
"First Name","Имя"
"Last Name","Фамилия"
"Email","Электронная почта"
"User Email","Email пользователя"
"New Password","Новый пароль"
"Password Confirmation","Подтверждение пароля"
"Interface Locale","Язык интерфейса"
"Current User Identity Verification","Идентификация пользователя"
"Your Password","Ваш пароль"
"Save Cache Settings","Сохранение параметров кэша"
"Catalog Rewrites","Перезапись каталога"
"Refresh","Обновить"
"Images Cache","Кеш изображений"
"Clear","Очистить"
"Search Index","Поисковый индекс"
"Rebuild","Перестроить"
"Inventory Stock Status","Инвентаризация склада"
"Rebuild Catalog Index","Перестроить индекс каталога"
"Rebuild Flat Catalog Category","Перестроить каталог с горизонтальной (flat) структурой хранения"
"Rebuild Flat Catalog Product","Перестроить товары с горизонтальной (flat) структурой хранения"
"Cache Control","Управление кэшем"
"All Cache","Весь кэш"
"No change","Без изменений"
"Disable","Отключить"
"Enable","Включить"
"Add Design Change","Добавить изменение дизайна"
"Back","Вернуться"
"Delete","Удалить"
"Are you sure?","Вы уверены?"
"Save","Сохранить"
"Edit Design Change","Редактирование дизайна"
"New Store Design Change","Редактирование дизайна нового магазина"
"General Settings","Общие настройки"
"Store","Магазин"
"-- Please Select --","-- Выберите --"
"Custom Design","Индивидуальный дизайн"
"Date From","Дата с"
"Date To","Дата по"
"Design Change","Изменение дизайна"
"General","Общие"
"Cancel","Отмена"
"Delete %1 '%2'","Удалить %1 «%2»"
"Delete %1","Удаление %1"
"Block Information","Блок информации"
"Backup Options","Параметры резервного копирования"
"Create DB Backup","Создайте резервную копию базы данных"
"Yes","Да"
"No","Нет"
"Delete Store","Удалить магазин"
"Delete Web Site","Удалить веб-сайт"
"Save Web Site","Сохранить веб-сайт"
"Save Store","Сохранить магазин"
"Save Store View","Сохранить представление магазина"
"Delete Store View","Удалить представление магазина"
"Edit Web Site","Редактировать веб-сайт"
"New Web Site","Новый веб-сайт"
"Edit Store","Редактировать магазин"
"New Store","Новый магазин"
"Edit Store View","Изменить представление магазина"
"New Store View","Новое представление магазина"
"Store Information","Информация о магазине"
"Web Site","Веб-сайт"
"Name","Название"
"Code","Код"
"Root Category","Корневая категория"
"Default Store View","Представление магазина по умолчанию"
"Store View Information","Информация о представлении магазина"
"Status","Статус"
"Disabled","Отключено"
"Enabled","Включено"
"Sort Order","Порядок Сортировки"
"Web Site Information","Информация веб-сайта"
"Default Store","Магазин по умолчанию"
"Set as Default","Установить по умолчанию"
"Stores","Магазины"
"Create Website","Создать веб-сайт"
"Create Store","Создать магазин"
"Create Store View","Создать представление магазина"
"Home","Главная"
"Reset","Сбросить"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Add New Image","Добавить новое изображение"
"Export block for grid %1 is not defined","Экспорт блока для сетки %1 не определен"
"Reset Filter","Сбросить фильтр"
