"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Su servidor web no está configurado correctamente y permite el acceso no autorizado a archivos sensibles. Por favor, póngase en contacto con su proveedor de hosting."
"System Messages:","Mensajes del Sistema:"
"Critical System Messages","Mensajes críticos del sistema"
"Major System Messages","Mensajes principales del sistema"
"System messages","Mensajes del Sistema"
"Close","Cerrar"
"See All (","Ver todos ("
"unread)","no leídos)"
"Show Toolbar","Mostrar barra de herramientas"
"Show List","Mostrar lista"
"Use HTTPS to Get Feed","Utilizar HTTPS para obtener el feed"
"Update Frequency","Frecuencia de actualización"
"Last Update","Última actualización"
"Severity","Importancia"
"Date Added","Fecha creación"
"Message","Mensaje"
"Actions","Acciones"
"Manage Shopping Cart","Administrar carrito de compras"
"Create Order","Crear pedido"
"Back","Atrás"
"Add Products","Añadir productos"
"Update Items and Quantities","Actualizar Artículos y Cantidades"
"Are you sure you want to clear your cart?","¿Está seguro que desea borrar su carrito de compras?"
"Clear my shopping cart","Vaciar mi carrito de compras"
"Add selections to my cart","Añadir seleccionados a mi carrito de compras"
"Cancel","Cancelar"
"Shopping Cart for %1 in %2","Carrito de compras para %1 en %2"
"Select products you want to buy","Seleccione los artículos que desea comprar"
"Product","Producto"
"Price","Precio"
"Quantity","Cantidad"
"Products in the Comparison List (%1)","Artículos en la lista de comparación (%1)"
"Last ordered items (%1)","Últimos artículos pedidos (%1)"
"Products","Productos"
"ID","ID"
"SKU","SKU"
"Recently Compared Products (%1)","Productos comparados recientemente (%1)"
"Recently Viewed Products (%1)","Productos vistos recientemente (%1)"
"Add to Shopping Cart by SKU","Añadir al carrito de compras por SKU"
"Add to Shopping Cart","Añadir al carrito de compras"
"Wish List (%1)","Lista de deseos (%1)"
"Apply","Aplicar"
"Configure","Configurar"
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Order","Añadir al pedido"
"Add Products to Order","Añadir artículos al pedido"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> artículo(s) requieren su atención.</span>"
"Remove All","Remover todos"
"Only %1%2%3 left in stock","Sólo %1%2%3 disponible"
"You can buy up to %1 of these per purchase.","Usted puede comprar %1 de estos por compra."
"You must buy at least %1 of these per purchase.","Usted debe comprar por lo menos %1 de éstos por compra."
"Specify the product's options.","Especifique las opciones del artículo."
"Alert me when this item is available.","Avísame cuando este artículo esté disponible."
"This customer couldn't be found. Verify the customer and try again.","Este cliente no se encuentra. Verifique el cliente y vuelva a intentarlo."
"Shopping cart management is disabled for this customer.","La gestión del carrito de compras está deshabilitada para este cliente."
"This store couldn't be found. Verify the store and try again.","Esta tienda no se encuentra. Verifique la tienda y vuelva a intentarlo."
"Customers","Clientes"
"Shopping Cart","Carrito de compras"
"An error occurred. For details, see the error log.","Ha ocurrido un error. Para ver los detalles consultar el log del error."
"You do not have access to this.","No tienes acceso a esto."
"Orders can only be completed in an active store. Verify the store and try again.","Los pedidos sólo se pueden completar en una tienda activa. Verifica la tienda e inténtelo de nuevo."
"The ordered item needs to be loaded. Load the item and try again.","Los artículos seleccionados deben cargarse. Carga el articulo he inténtalo de nuevo."
"The quote item ID needs to be received. Set the ID and try again.","El ID del articulo requerido tiene que recibirse. Configura el ID y prueba de nuevo."
"The quote item needs to be loaded. Load the item and try again.","El articulo requerido tiene que cargarse. Carga el articulo y prueba de nuevo."
"The wish list item ID needs to be received. Set the ID and try again.","El ID del articulo de la lista de deseos debe recibirse. Crea el ID y prueba de nuevo."
"The wish list item needs to be loaded. Load the item and try again.","El articulo de la lista de deseos debe cargarse. Carga el articulo y prueba de nuevo."
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver registro de errores para obtener más información."
"You cannot configure a product.","No puede configurar un artículo."
"You removed the items.","Eliminó los elementos."
"You removed the item.","Eliminó el elemento."
"You added %1 to your shopping cart.","Añadiste %1 a su carrito de compras."
"You cannot add a product.","No puede agregar un artículo."
"Order by SKU","Comprar por SKU"
"The SKU was not found in the catalog.","El SKU no fue encontrado en el catálogo."
"Availability: Out of stock.","Disponibilidad: agotado."
"We don't have as many of these as you want.","No tenemos la cantidad que usted desea."
"You can't add this many to your cart.","No puedes añadir esta cantidad a su carrito de compras."
"You need to choose options for your item.","Tiene que elegir opciones para su elemento."
"We can't add the item to your cart.","No pudimos añadir el producto a tu carrito de compras."
"Please enter an actual number in the ""Qty"" field.","Introduzca un número en el campo ""Cantidad"", por favor."
"This product is assigned to another website.","Este artículo se asignó a otro sitio Web."
"You can add only enabled products.","Puede agregar sólo artículos habilitados."
"You cannot upload this file.","No puede cargar este archivo."
"The file is empty.","El archivo está vacío."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","No introdujo un SKU de artículo. Por favor <a href=""%1""> haga clic aquí</a> para agregar artículo(s) por SKU."
"You have not entered a product SKU.","No introdujo un SKU de artículo."
"We can't add a product to cart by id ""%1"".","No pudimos añadir el producto con el identificador ""%1"" a su cesta."
"Something went wrong while reordering this product.","Algo falló al reordenar este artículo."
"We can't find this wish list.","No podemos encontrar los favoritos."
"You added %1 product to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"You added %1 products to your shopping cart.","Añadiste %1 artículos a su carrito de compras."
"%1 product requires your attention.","El artículo %1 requiere su atención."
"%1 products require your attention.","Los artículos %1 requieren su atención."
"Yes, for Specified Customer Groups","Sí, para grupos de cliente especificados"
"Yes, for Everyone","Sí, para todos"
"No","No"
"The file is corrupt and can't be used.","El archivo está dañado y no puede utilizarse."
"Please upload the file in .csv format.","Por favor, sube el archivo en formato CSV."
"%1 item(s) need your attention.","%1 artículo(s) necesitan su atención."
"Apply Coupon Code","Aplicar cupón"
"Remove Coupon Code","Eliminar cupón"
"Remove","Remover"
"The coupon code ""%1"" is not valid.","El cupón ""%1"" no es válido."
"Shopping Cart Items","Artículos del carrito de compras"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Discount","Descuento"
"Row Subtotal","Subtotal de la fila"
"Action","Acción"
"No ordered items","No hay artículos pedidos"
"Total %1 product(s)","%1 artículo(s) en total"
"Subtotal:","Subtotal:"
"Move to Wish List","Mover a favoritos"
"No item specified.","No se especificó artículo."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"SKU number","Número SKU"
"Upload File","Subir archivo"
"Your csv file must include ""sku"" and ""qty"" columns.","Su archivo csv debe incluir las columnas ""sku"" y ""cantidad""."
"Reset","Restablecer"
"SKU:","SKU:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Sólo <span id=""%1_max_allowed"">%2</span> en stock"
"Item","Elemento"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"Incl. Tax","Impuestos incl."
"Excl. Tax","Impuestos NO Incl."
"Edit item parameters","Editar los parámetros del artículo"
"Edit","Editar"
"Remove item","Remover artículo"
"Products Requiring Attention","Artículos que requieren su atención"
"Add to Cart","Añadir al carrito de compras"
"Sku","SKU"
"File","Archivo"
"File extensions allowed: .csv","Extensiones de archivo permitidas: .csv"
"Add Row","Añadir fila"
"Remove Row","Remover fila"
"Add Products By SKU","Añadir artículos por SKU"
"Shopping Cart Management","Gestión de carrito de compras"
"View Shopping Cart","Ver cesta de la compras"
"View and modify Shopping Cart","Ver y modificar el carrito de compras"
"Order by SKU Settings","Comprar por la configuración de SKU"
"Enable Order by SKU on My Account in Storefront","Habilitar la compra por SKU en mi cuenta en tienda"
"Customer Groups","Grupos del cliente"
"Apply Coupon","Aplicar cupón"
"Order by SKU Description","Comprar por descripción SKU"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace para cargar una hoja de cálculo"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define si un enlace a mi cuenta &gt; comprar por página SKU aparecerá en el widget"
"Link Text","Texto del enlace"
"The text of the link to the My Account &gt; Order by SKU page","El texto del enlace a mi cuenta &gt; comprar por página SKU"
"Load a list of SKUs","Cargar una lista de SKU"
"Order by SKU Template","Pedido por la plantilla de SKU"
"Please correct the data sent.","Corrige los datos enviados."
"Entity type model '%1' is not found","No se encuentra el modelo del tipo entidad '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Modelo de tipo de entidad debe ser una instancia de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","No se dispone de ningún tipo de producto para la exportación"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","La clase %1 no implementa \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Regla de Ventas"
"Index sales rule","Indexar regla de venta"
"Related Search Terms","Términos de búsqueda relacionados"
"Add New Search Term","Añadir nuevo término de búsqueda"
"button_label","button_label"
"Missing search engine parameter.","Falta el parámetro del motor de búsqueda."
"Successful! Test again?","¡Éxito! ¿Probar de nuevo?"
"Connection failed! Test again?","¡La conexión ha fallado! ¿Reintentar?"
"Enable Search Recommendations","Habilitar recomendaciones de búsqueda"
"When you enable this option your site may slow down.","Al habilitar esta opción puede ralentizar su sitio."
"Search Recommendations Count","Recuento de las recomendaciones de búsqueda"
"Show Results Count for Each Recommendation","Mostrar el recuento de resultados para cada recomendación"
"Enable Search Suggestions","Habilitar sugerencias de búsqueda"
"Search Suggestions Count","Recuento de sugerencias de búsqueda"
"Show Results Count for Each Suggestion","Mostrar recuento de resultados para cada sugerencia"
"Related search terms","Términos de búsqueda relacionados"
"Did you mean","Quisiste decir"
"ID","ID"
"Search Query","Término de búsqueda"
"Store","Tienda"
"Results","Resultados"
"Uses","Usos"
"Redirect URL","URL de redirección"
"Suggested Term","Término sugerido"
"Yes","Sí"
"No","No"
"Action","Acción"
"Edit","Editar"
"RPC call failed, connection timed out after %time_out.","Error en la llamada RPC, después de %time_out, se agotó el tiempo de conexión."
"Message has been rejected: %1","El mensaje ha sido rechazado: %1"
"Error while checking if topic is synchronous","Error al comprobar si el tema es sincrónico"
"Subscription status","Estado de suscripción"
"Sorry, there has been an error processing your request. Please try again later.","Lo sentimos, ha habido un error al procesar su petición. Por favor Inténtalo más tarde."
"The time value is using an unsupported format. Enter a supported format and try again.","El valor del tiempo está usando un formato no compatible. Entrar un formato compatible y vuelva a intentarlo."
"Cron settings can't be saved","La configuración de Cron no se puede guardar"
"There was an error save new configuration value.","Hubo un error al guardar el nuevo valor de configuración."
"Please select an industry.","Seleccione una industria."
"Command was not found.","Comando no encontrado."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Los datos no están válidos. Ingrese los datos como una cadena o datos que se pueden convertir en una cadena y vuelva a intentarlo."
"The data is invalid. Enter the data as a string and try again.","Los datos no están válidos. Ingrese los datos como una cadena y vuelva a intentarlo."
"The data is invalid. Use a valid cipher method and try again.","Los datos no están válidos. Utilizar un método de cifrado válido y vuelva a intentarlo."
"Enter the encryption key and try again.","Introduzca la clave de cifrado y vuelva a intentarlo."
"The ""%1"" source doesn't exist.","El origen de ""%1"" no existe."
"These arguments can't be empty ""%1""","Estos argumentos no pueden quedar vacíos ""%1"""
"Cannot find predefined integration user!","¡No se puede encontrar el usuario de integración predefinido!"
"File is not ready yet.","El archivo todavía no esta preparado."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","La URL base ha cambiado y los informes están siendo actualizados. Los informes avanzados estarán disponibles cuando los cambios hayan sido procesados. Por favor inténtelo mas tarde."
"Failed to synchronize data to the Magento Business Intelligence service.","Fallo al sincronizar los datos al servicio de Magento Business Intelligence."
"Retry Synchronization","Reintentar sincronización"
"TestMessage","MensajeDePrueba"
"Apps and Games","Aplicaciones y juegos"
"Athletic/Sporting Goods","Artículos deportivos"
"Art and Design","Arte y diseño"
"Advanced Reporting","Informes avanzados"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gane nuevas visitas y coge las riendas del rendimiento de tu negocio, usando nuestros informes dinámicos de productos, pedidos y clientes adaptados a los datos de sus clientes."
"Go to Advanced Reporting","Ir a Informes Avanzados"
"Analytics","Análisis"
"API","API"
"Configuration","Configuración"
"Business Intelligence","Inteligencia de Negocio"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Este servicio proporciona un conjunto dinámico de informes con información valiosa sobre su negocio.
                Puede acceder a sus informes de forma segura en un panel personalizado fuera del panel de administración haciendo clic en
                ""Ir al enlace de informes avanzados"".</br>Para más información, vea nuestro <a href=""https://magento.com/legal/terms/cloud-terms"">
                términos y Condiciones</a>."
"Advanced Reporting Service","Servicio de informes avanzados"
"Time of day to send data","Hora del día para enviar los datos"
"Industry","Tipo de negocio"
"In order to personalize your Advanced Reporting experience, please select your industry.","Para personalizar la experiencia en informes avanzados, por favor seleccione el tipo de negocio."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obtén mas ideas con Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence le proporciona un camino sencillo y claro para
                    convertirse en más datos.</br> Más información sobre <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a>tiers."
"Auto Parts","Piezas de automóvil"
"Baby/Children’s Apparel, Gear and Toys","Ropa de bebés y niños, engranaje y juguetes"
"Beauty and Cosmetics","Belleza y cosmética"
"Books, Music and Magazines","Libros, música y revistas"
"Crafts and Stationery","Artesanías y artículos de papelería"
"Consumer Electronics","Consumibles electronicos"
"Deal Site","Sitio de ofertas"
"Fashion Apparel and Accessories","Accesorios y ropa de moda"
"Food, Beverage and Grocery","Alimentos, bebidas y comestibles"
"Home Goods and Furniture","Muebles y artículos para el hogar"
"Home Improvement","Mejoras para el hogar"
"Jewelry and Watches","Joyas y relojes"
"Mass Merchant","Comerciante al por mayor"
"Office Supplies","Material de oficina"
"Outdoor and Camping Gear","Engranaje al aire libre y Camping"
"Pet Goods","Productos para mascotas"
"Pharma and Medical Devices","Industria farmacéutica y dispositivos médicos"
"Technology B2B","Tecnología B2B"
"Other","Otro"
"Back","Atrás"
"Done","Hecho"
"Retry","Reintentar"
"'Action Details - #' .","'Detalles de la acción - #'."
"%1 item(s) have been scheduled for update.""","%1 de elemento(s) han sido catalogados para actualizacion"
"Bulk Actions Log","Registro de acciones en volumen"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid no existe"
"Topic %1","Tema %1"
"Something went wrong while processing the request.","Algo salió mal durante el procesamiento de la solicitud."
"Error processing %key element of input data","Error al procesar el elemento clave % de datos de entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Lo sentimos, algo salió mal durante la actualización de los precios del producto. Por favor, vea el registro para más detalles."
"%1 item(s) are currently being updated.","%1 elemento(s) esta siendo actualizado."
"Task ""%1"":","Tarea ""%1"":"
"%1 item(s) have been scheduled for update.","%1 de elemento(s) han sido catalogados para actualizacion."
"%1 item(s) have been successfully updated.","%1 elemento(s) han sido actualizados correctamente."
"%1 item(s) failed to update","%1 elemento(s) fallo al actualizarse"
"Details","Detalles"
"View Details","Mostrar detalles"
"Dismiss","Descartar"
"Pending, in queue...","Pendiente, en lista de espera..."
"%1 items selected for mass update","%1 elementos seleccionados para la actualización masiva"
", %1 successfully updated",", %1 actualizado correctamente"
", %1 failed to update",", %1 no pudo actualizar"
"Something went wrong.","Algo salió mal."
"Action Log","Registro de acciones"
"Report","Informe"
"Bulk Actions","Acciones en grupo"
"Action Logs","Registro de acciones"
"Days Saved in Log","Días guardados en registro"
"Description of Operation","Descripción de la operación"
"Summary","Resumen"
"Start Time","Tiempo de Inicio"
"Items to Retry","Elementos a reintentar"
"To retry, select the items and click “Retry”.","Para volver a intentar, seleccione los elementos y haga clic en ""Reintentar""."
"Items That Can’t Be Updated.","Elementos que no se pueden actualizar."
"ID","ID"
"Status","Estado"
"Meta Information","Meta Información"
"Error","Error"
"Dismiss All Completed Tasks","Descartar Todas las Tareas Completadas"
"Action Details - #","Detalles de la acción - #"
"Number of Records Affected","Número de registros afectados"
"The role wasn't found for the user. Verify the role and try again.","El cargo no se ha encontrado para el usuario. Verifica el cargo y prueba de nuevo."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Algo salió mal mientras se compilaba una lista de recursos permitidos. Puedes encontrar más información en el registro de excepciones."
"You created the order.","Has creado el pedido."
"Order saving error: %1","Error al guardar el pedido: %1"
"Please choose a payment method.","Por favor, seleccione un método de pago."
"We can't process your order right now. Please try again later.","No se puede procesar su pedido ahora. Por favor, inténtelo más tarde."
"A server error stopped your order from being placed. Please try to place your order again.","Un error en el servidor ha detenido tu pedido. Por favor, intenta hacer tu pedido de nuevo."
"Credit Card: xxxx-%1","Tarjeta de crédito: xxxx-%1"
"amount %1","monto %1"
"failed.","falló."
"successful.","exitoso."
"Authorize.Net Transaction ID %1.","ID de transacción Authorize.Net: %1."
"authorize","autorizar"
"authorize and capture","autorizar y registrar"
"capture","captura"
"refund","reembolso"
"void","vacío"
"Gateway error: %1","Error de pasarela: %1"
"Something went wrong in the payment gateway.","Algo salió mal en la pasarela de pago."
"Invalid amount for capture.","Monto inválido para captura."
"Payment capturing error.","Error en la captura del pago."
"Invalid transaction ID.","ID de transacción no válida."
"Payment voiding error.","Error de anulación de pago."
"Invalid amount for refund.","Monto inválido para reembolso."
"Payment refunding error.","Error de reembolso de pago."
"The transaction was declined because the response hash validation failed.","La transacción fue rechazada porque la validación de la respuesta falló."
"This payment didn't work out because we can't find this order.","Este pago no funcionó porque no podemos encontrar este pedido."
"There was a payment authorization error.","Hubo un error en la autorización de pago."
"Please enter a transaction ID to authorize this payment.","test"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Algo salió mal: el monto pagado no coincide con el total del pedido. Por favor, corrija esto y vuelva a intentarlo."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","La transacción %1 ha sido aprobada. Importe %2. El estado de la transacción es ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","La transacción %1 ha sido anulada/declinada. El estado de transacción es ""%2"". Importe %3."
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y capturar"
"The transaction details are unavailable. Please try again later.","Los detalles de la transacción no están disponibles. Por favor prueba de nuevo después."
"Electronic payments save the trees.","Los pagos electrónicos salvan a los árboles."
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Expiration Date","Fecha de vencimiento"
"Card Verification Number","Número de verificación de tarjeta"
"Fraud Detection","Detección de fraude"
"FDS Filter Action","Acción de filtrado FDS"
"AVS Response","Respuesta AVS"
"Card Code Response","Respuesta de código de tarjeta"
"CAVV Response","Respuesta CAVV"
"Fraud Filters","Filtros de fraude"
"Place Order","Comprar ahora"
"Sorry, but something went wrong. Please contact the seller.","Lo sentimos, pero algo salió mal. Por favor, póngase en contacto con el vendedor."
"Authorize.net Direct Post","Post directo de Authorize.net"
"Enabled","Habilitado"
"Payment Action","Acción de pago"
"Title","Título"
"API Login ID","ID de acceso de la API"
"Transaction Key","Clave de transacción"
"Merchant MD5","MD5 del Vendedor"
"New Order Status","Nuevo estado del pedido"
"Test Mode","Modo de prueba"
"Gateway URL","URL de la pasarela"
"Transaction Details URL","URL de los Detalles de la transacción"
"Accepted Currency","Moneda Aceptada"
"Debug","Depurar"
"Email Customer","Correo electrónico del Cliente"
"Merchant's Email","Correo electrónico del vendedor"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Minimum Order Total","Total mínimo del pedido"
"Maximum Order Total","Total máximo del pedido"
"Sort Order","Orden de aparición"
"Close","Cerrar"
"options","opciones"
"Select all","Seleccionar todo"
"Deselect all","Anular todas las selecciones"
"Cancel","Cancelar"
"Done","Hecho"
"%s of %s selected","%s de %s seleccionados"
"B2B Features","Características B2B"
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"You entered an invalid Secret Key. Please refresh the page.","Has introducido una clave secreta inválida. Por favor actualice la página."
"Cache Storage Management","Administración de almacenamiento de caché"
"Flush Magento Cache","Vaciar la caché de Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","El almacenamiento de caché puede contener datos adicionales. ¿Estás seguro de que deseas eliminarlo?"
"Flush Cache Storage","Vaciar almacenamiento de caché"
"Invalidated","Invalidado"
"Orders","Pedidos"
"Amounts","Cantidades"
"Bestsellers","Más vendidos"
"Most Viewed Products","Productos más vistos"
"New Customers","Nuevos clientes"
"Customers","Clientes"
"Customer","Cliente"
"Guest","Invitado"
"Items","Artículos"
"Total","Total"
"Lifetime Sales","Ventas de por Vida"
"Average Order","Promedio de pedidos"
"Average","Promedio"
"Product","Producto"
"Price","Precio"
"Quantity","Cantidad"
"Views","Vistas"
"Revenue","Ingresos"
"Tax","Impuestos"
"Shipping","Shipping"
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Multimedia(.avi, .flv, .swf)"
"All Files","Todos los archivos"
"Reset to Default","Restablecer a valores predeterminados"
"All Store Views","Todas las vistas de la tienda"
"What is this?","¿Qué es esto?"
"Save Account","Guardar Cuenta"
"My Account","Mi Cuenta"
"Account Information","Información de la cuenta"
"User Name","Nombre de usuario"
"First Name","Nombre"
"Last Name","Apellidos"
"Email","Correo electrónico"
"User Email","Correo electrónico del usuario"
"New Password","Nueva Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Interface Locale","Configuración de interfaz"
"Current User Identity Verification","Verificación de identidad del usuario actual"
"Your Password","Tu contraseña"
"Save Cache Settings","Guardar la configuración de caché"
"Catalog Rewrites","Reescribir el catálogo"
"Refresh","Actualizar"
"Images Cache","Caché de imágenes"
"Clear","Limpiar"
"Search Index","Índice de Búsqueda"
"Rebuild","Reconstruir"
"Inventory Stock Status","Estado de inventario"
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Cache Control","Control de caché"
"All Cache","Toda la Cache"
"No change","Sin cambios"
"Disable","Desactivar"
"Enable","Habilitar"
"Add Design Change","Añadir cambio de diseño"
"Back","Atrás"
"Delete","Borrar"
"Are you sure?","¿Seguro que quiere continuar?"
"Save","Guardar"
"Edit Design Change","Editar cambio de diseño"
"New Store Design Change","Nuevo cambio de diseño de la tienda"
"General Settings","Configuración General"
"Store","Tienda"
"Custom Design","Diseño Personalizado"
"Date From","Fecha desde"
"Date To","Hasta la fecha"
"Design Change","Cambio de diseño"
"General","General"
"Cancel","Cancelar"
"Delete %1 '%2'","Eliminar %1 '%2'"
"Delete %1","Eliminar %1"
"Block Information","Bloque información"
"Backup Options","Opciones de copia de seguridad"
"Create DB Backup","Crear copia de seguridad de la BD"
"Yes","Sí"
"No","No"
"Delete Store","Borrar tienda"
"Delete Web Site","Eliminar sitio Web"
"Save Web Site","Guardar sitio Web"
"Save Store","Guardar la tienda"
"Save Store View","Guardar vista de tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Edit Web Site","Editar sitio Web"
"New Web Site","Nuevo sitio Web"
"Edit Store","Editar tienda"
"New Store","Nueva tienda"
"Edit Store View","Editar Vista de Tienda"
"New Store View","Nueva vista de tienda"
"Store Information","Información de la tienda"
"Web Site","Sitio web"
"Name","Nombre"
"Code","Código"
"Root Category","Categoría raíz"
"Default Store View","Vista de Tienda Predeterminada"
"Store View Information","Información de la Vista de Tienda"
